Month	random	Date	lowci	highci	med	Lower CI	Median	Number of Records	Upper CI	Year 	Year Original
10	0.519257655	10/1/1868	cooler	cooler	cooler	-0.166	-0.232	1	-0.312	1868	1868/10
11	0.176179888	11/1/1868	cooler	cooler	cooler	-0.438	-0.5	1	-0.572	1868	1868/11
12	0.225222799	12/1/1868	cooler	cooler	cooler	-0.051	-0.12	1	-0.215	1868	1868/12
1	0.656614923	1/1/1869	cooler	cooler	cooler	-0.192	-0.259	1	-0.347	1869	1869/01
2	0.75663821	2/1/1869	warmer	warmer	warmer	0.332	0.27	1	0.184	1869	1869/02
3	0.611693401	3/1/1869	cooler	cooler	cooler	-0.521	-0.589	1	-0.665	1869	1869/03
4	0.499455677	4/1/1869	cooler	cooler	cooler	-0.159	-0.224	1	-0.292	1869	1869/04
5	0.65676319	5/1/1869	cooler	cooler	cooler	-0.226	-0.281	1	-0.36	1869	1869/05
6	0.898797221	6/1/1869	cooler	cooler	cooler	-0.31	-0.37	1	-0.442	1869	1869/06
7	0.252465992	7/1/1869	cooler	cooler	cooler	-0.229	-0.286	1	-0.365	1869	1869/07
8	0.465177235	8/1/1869	cooler	cooler	cooler	-0.019	-0.072	1	-0.141	1869	1869/08
9	0.477210965	9/1/1869	cooler	cooler	cooler	-0.13	-0.186	1	-0.246	1869	1869/09
10	0.071020278	10/1/1869	cooler	cooler	cooler	-0.363	-0.422	1	-0.497	1869	1869/10
11	0.759106313	11/1/1869	cooler	cooler	cooler	-0.315	-0.375	1	-0.441	1869	1869/11
12	0.935482026	12/1/1869	cooler	cooler	cooler	-0.284	-0.355	1	-0.429	1869	1869/12
1	0.575520886	1/1/1870	cooler	cooler	cooler	-0.012	-0.078	1	-0.161	1870	1870/01
2	0.109332628	2/1/1870	cooler	cooler	cooler	-0.391	-0.45	1	-0.516	1870	1870/02
3	0.110616535	3/1/1870	cooler	cooler	cooler	-0.344	-0.406	1	-0.474	1870	1870/03
4	0.340127214	4/1/1870	cooler	cooler	cooler	-0.152	-0.214	1	-0.269	1870	1870/04
5	0.460773499	5/1/1870	cooler	cooler	cooler	-0.11	-0.165	1	-0.246	1870	1870/05
6	0.500674209	6/1/1870	cooler	cooler	cooler	-0.153	-0.209	1	-0.278	1870	1870/06
